"label","lat","lng","img"
"Faggio
Lizzano in Belvedere
in prossimità dell'accesso alla """Baita del Sole"""","44.12884321","10.81369856","http://online.ibc.regione.emilia-romagna.it/mtrees/image/22.jpg"
"Faggio
Lizzano in Belvedere
in prossimità dell'accesso alla """Baita del Sole"""","44.12884321","10.81369856","http://online.ibc.regione.emilia-romagna.it/mtrees/image/8097.jpg"
"Faggio
Lizzano in Belvedere
in prossimità dell'accesso alla """Baita del Sole"""","44.12884321","10.81369856","http://online.ibc.regione.emilia-romagna.it/mtrees/image/8099.jpg"
"Faggio
Lizzano in Belvedere
in prossimità dell'accesso alla """Baita del Sole"""","44.12884321","10.81369856","http://online.ibc.regione.emilia-romagna.it/mtrees/image/8423.jpg"
"Faggio
Lizzano in Belvedere
in prossimità dell'accesso alla """Baita del Sole"""","44.12884321","10.81369856","http://online.ibc.regione.emilia-romagna.it/mtrees/image/8427.jpg"
"Faggio
Lizzano in Belvedere
in prossimità dell'accesso alla """Baita del Sole"""","44.12884321","10.81369856","http://online.ibc.regione.emilia-romagna.it/mtrees/image/6638.jpg"
"Faggio
Lizzano in Belvedere
in prossimità dell'accesso alla """Baita del Sole"""","44.12884321","10.81369856","http://online.ibc.regione.emilia-romagna.it/mtrees/image/6762.jpg"
"Faggio
Lizzano in Belvedere
in prossimità dell'accesso alla """Baita del Sole"""","44.12884321","10.81369856","http://online.ibc.regione.emilia-romagna.it/mtrees/image/14771.jpg"
"Faggio
Lizzano in Belvedere
in prossimità dell'accesso alla """Baita del Sole"""","44.12850629","10.81393823","http://online.ibc.regione.emilia-romagna.it/mtrees/image/87.jpg"
"Faggio
Lizzano in Belvedere
in prossimità dell'accesso alla """Baita del Sole"""","44.12850629","10.81393823","http://online.ibc.regione.emilia-romagna.it/mtrees/image/8101.jpg"
"Faggio
Lizzano in Belvedere
in prossimità dell'accesso alla """Baita del Sole"""","44.12850629","10.81393823","http://online.ibc.regione.emilia-romagna.it/mtrees/image/8103.jpg"
"Faggio
Lizzano in Belvedere
in prossimità dell'accesso alla """Baita del Sole"""","44.12850629","10.81393823","http://online.ibc.regione.emilia-romagna.it/mtrees/image/8419.jpg"
"Faggio
Lizzano in Belvedere
in prossimità dell'accesso alla """Baita del Sole"""","44.12850629","10.81393823","http://online.ibc.regione.emilia-romagna.it/mtrees/image/8429.jpg"
